,Unnamed: 0,Network,Assignment,Influence,Treatment,Feature Names,Mean Estimated,Mean True,Perc Diff Overall (%),Mean Bias,Bias Lower Bound (95%),Bias Upper Bound (95%),FPR
20,20,watts_strogatz_graph,random,0.6,0.3,Naive,2.311,0.3,670.221,2.011,1.745041180828621,2.2807933835324343,0.25
21,21,watts_strogatz_graph,random,0.6,0.3,"degree_centrality, betweenness_centrality, community",1.364,0.3,354.76,1.064,0.8343557861172346,1.2969062679262005,0.05
22,22,watts_strogatz_graph,random,0.6,0.3,"degree_centrality, betweenness_centrality",1.387,0.3,362.363,1.087,0.8744888743614748,1.2982629995228523,0.04
23,23,watts_strogatz_graph,random,0.6,0.3,community,2.012,0.3,570.683,1.712,1.4391688282745447,1.99126096368781,0.19
24,24,watts_strogatz_graph,random,0.6,0.3,Node2Vec,0.798,0.3,166.123,0.498,0.2377370916414757,0.7654179873951017,0.02
25,25,watts_strogatz_graph,random,0.9,0.3,Naive,7.55,0.3,2416.528,7.25,6.214418854307419,8.30018779587335,0.45
26,26,watts_strogatz_graph,random,0.9,0.3,"degree_centrality, betweenness_centrality, community",3.114,0.3,937.909,2.814,2.2336168359070254,3.40152885530002,0.09
27,27,watts_strogatz_graph,random,0.9,0.3,"degree_centrality, betweenness_centrality",3.303,0.3,1000.9,3.003,2.437719895623988,3.582917770704765,0.06
28,28,watts_strogatz_graph,random,0.9,0.3,community,5.81,0.3,1836.566,5.51,4.553333983760201,6.462121576752384,0.38
29,29,watts_strogatz_graph,random,0.9,0.3,Node2Vec,0.691,0.3,130.388,0.391,-0.0426115151220315,0.8387310683356818,0.06
30,30,erdos_renyi_graph,random,0.3,0.3,Naive,1.275,0.3,325.098,0.975,0.832420549716376,1.1173909647054168,0.17
31,31,erdos_renyi_graph,random,0.3,0.3,"degree_centrality, betweenness_centrality, community",0.678,0.3,126.063,0.378,0.2159942573580656,0.534879953592496,0.02
32,32,erdos_renyi_graph,random,0.3,0.3,"degree_centrality, betweenness_centrality",0.677,0.3,125.802,0.377,0.2211484670929585,0.5313064547096165,0.02
33,33,erdos_renyi_graph,random,0.3,0.3,community,1.267,0.3,322.202,0.967,0.820465229349209,1.1119479999236797,0.16
34,34,erdos_renyi_graph,random,0.3,0.3,Node2Vec,0.705,0.3,135.126,0.405,0.1486688301279558,0.6646036406768425,0.03
35,35,erdos_renyi_graph,random,0.6,0.3,Naive,1.892,0.3,530.605,1.592,1.3473327651600495,1.8272658066650724,0.43
36,36,erdos_renyi_graph,random,0.6,0.3,"degree_centrality, betweenness_centrality, community",0.55,0.3,83.27,0.25,0.0752506736954759,0.4290331227900868,0.09
37,37,erdos_renyi_graph,random,0.6,0.3,"degree_centrality, betweenness_centrality",0.551,0.3,83.718,0.251,0.0717526056239134,0.4277906457597002,0.1
38,38,erdos_renyi_graph,random,0.6,0.3,community,1.889,0.3,529.502,1.589,1.3451315993354334,1.8250805313114675,0.42
39,39,erdos_renyi_graph,random,0.6,0.3,Node2Vec,0.421,0.3,40.167,0.121,-0.1392402900838809,0.3845930953321231,0.01
40,40,erdos_renyi_graph,random,0.9,0.3,Naive,6.023,0.3,1907.601,5.723,4.930860659590141,6.533787923211501,0.79
41,41,erdos_renyi_graph,random,0.9,0.3,"degree_centrality, betweenness_centrality, community",0.835,0.3,178.382,0.535,0.3563313099297751,0.7135605601037752,0.05
42,42,erdos_renyi_graph,random,0.9,0.3,"degree_centrality, betweenness_centrality",0.838,0.3,179.475,0.538,0.359732951576302,0.7197291480217095,0.05
43,43,erdos_renyi_graph,random,0.9,0.3,community,6.024,0.3,1907.952,5.724,4.910918983672966,6.541264101529322,0.77
44,44,erdos_renyi_graph,random,0.9,0.3,Node2Vec,0.677,0.3,125.652,0.377,0.0895966038546693,0.6669666273803372,0.07
0,0,barabasi_albert_graph,random,0.3,0.3,treated_neighbors_exposure,1.016,0.3,238.744,0.716,0.56166,0.869563,0.06
1,1,barabasi_albert_graph,random,0.3,0.3,treated_neighbors_count,1.203,0.3,300.991,0.903,0.75329,1.049091,0.09
2,2,barabasi_albert_graph,random,0.6,0.3,treated_neighbors_exposure,1.307,0.3,335.709,1.007,0.87216,1.13956,0.01
3,3,barabasi_albert_graph,random,0.6,0.3,treated_neighbors_count,1.749,0.3,482.943,1.449,1.303475,1.598462,0.11
4,4,barabasi_albert_graph,random,0.9,0.3,treated_neighbors_exposure,2.883,0.3,860.968,2.583,2.300537,2.863189,0.18
5,5,barabasi_albert_graph,random,0.9,0.3,treated_neighbors_count,4.891,0.3,1530.342,4.591,4.074725,5.094592,0.61
6,6,watts_strogatz_graph,random,0.3,0.3,treated_neighbors_exposure,1.247,0.3,315.747,0.947,0.803106,1.085283,0.06
7,7,watts_strogatz_graph,random,0.3,0.3,treated_neighbors_count,1.297,0.3,332.319,0.997,0.846807,1.142381,0.07
8,8,watts_strogatz_graph,random,0.6,0.3,treated_neighbors_exposure,1.542,0.3,414.062,1.242,1.04821,1.431508,0.06
9,9,watts_strogatz_graph,random,0.6,0.3,treated_neighbors_count,1.64,0.3,446.629,1.34,1.151583,1.523641,0.04
10,10,watts_strogatz_graph,random,0.9,0.3,treated_neighbors_exposure,4.26,0.3,1320.161,3.96,3.324269,4.604796,0.15
11,11,watts_strogatz_graph,random,0.9,0.3,treated_neighbors_count,4.65,0.3,1449.903,4.35,3.70643,4.991912,0.17
12,12,erdos_renyi_graph,random,0.3,0.3,treated_neighbors_exposure,0.694,0.3,131.399,0.394,0.245625,0.54081,0.02
13,13,erdos_renyi_graph,random,0.3,0.3,treated_neighbors_count,0.727,0.3,142.437,0.427,0.281976,0.574468,0.03
14,14,erdos_renyi_graph,random,0.6,0.3,treated_neighbors_exposure,0.642,0.3,114.029,0.342,0.172967,0.51102,0.04
15,15,erdos_renyi_graph,random,0.6,0.3,treated_neighbors_count,0.701,0.3,133.535,0.401,0.234524,0.566196,0.06
16,16,erdos_renyi_graph,random,0.9,0.3,treated_neighbors_exposure,1.184,0.3,294.759,0.884,0.698621,1.072835,0.05
17,17,erdos_renyi_graph,random,0.9,0.3,treated_neighbors_count,0.884,0.3,194.615,0.584,0.421467,0.746745,0.07
